Subcategory,Product Name,Current Price,Original Price,Product URL,Image URL,Current Price Num,Original Price Num,Discount Amount
4 Door,Hisense RC-68WC4SB 4 Door Fridge - 579L,"KES 319,995","KES 399,995",https://hotpoint.co.ke/catalogue/hisense-rc-68wc4sb-4-door-fridge-579l_5745/,,319995.0,399995.0,80000.0
4 Door,VON VRF-505NVAK Four Door Fridge 505l - Dark …,"KES 179,995",,https://hotpoint.co.ke/catalogue/von-vrf-505nvak-four-door-fridge-505l-dark-inox_6365/,,179995.0,0.0,0.0
Instaview,"LG GC-X257CQES Side by Side Fridge, 635 L …","KES 349,995","KES 424,995",https://hotpoint.co.ke/catalogue/lg-gc-x257cqes-side-by-side-fridge-635-l-instaview-uvnanotm-dispenser-hygienefreshtm_3445/,,349995.0,424995.0,75000.0
Instaview,LG GC-X267MSEW 635(L) | Mirror InstaView Door-in-Door™ | …,"KES 329,995","KES 439,995",https://hotpoint.co.ke/catalogue/lg-gc-x267msew-635l-mirror-instaview-door-in-doortm-smart-inverter-compressor-side-by-side-refrigerator-uvnanotm_5534/,,329995.0,439995.0,110000.0
Instaview,"LG GC-V459FSKW Bottom Freezer Refrigerator, 349l - Black, …","KES 179,995","KES 217,995",https://hotpoint.co.ke/catalogue/lg-gc-v459fskw-bottom-freezer-refrigerator-349l-black-smart-thinqtm-smart-inverter-compressor_5660/,,179995.0,217995.0,38000.0
Mini,VON VARM-11DHS Mini Fridge 90L - Silver,"KES 23,995",,https://hotpoint.co.ke/catalogue/von-varm-11dhs-mini-fridge-90l-silver_2198/,,23995.0,0.0,0.0
Mini,VON VRM-90DRAG Mini Fridge- 90L,"KES 20,495","KES 23,495",https://hotpoint.co.ke/catalogue/von-vrm-90drag-mini-fridge-90l_5608/,,20495.0,23495.0,3000.0
Single Door,"Von VRS-190DRHX Single Door - 190L, Inox","KES 26,495","KES 52,995",https://hotpoint.co.ke/catalogue/von-vrs-190drhx-single-door-190l-inox_5355/,,26495.0,52995.0,26500.0
Single Door,"LG GL-B201SLLB Single Door Fridge, 180L - Smart …","KES 39,995","KES 53,995",https://hotpoint.co.ke/catalogue/lg-gl-b201sllb-single-door-fridge-180l-smart-inverter-compressor-larger-capacity-semi-auto-defrost-moist-balance-crispertm_4476/,,39995.0,53995.0,14000.0
Single Door,Hisense RS-23DR4SB Single Door Fridge - 177L,"KES 34,995","KES 45,995",https://hotpoint.co.ke/catalogue/hisense-rs-23dr4sb-single-door-fridge-177l_5752/,,34995.0,45995.0,11000.0
Single Door,VON VRS-170DRAG Single Door Fridge- 170L,"KES 36,995","KES 41,995",https://hotpoint.co.ke/catalogue/von-vrs-170drag-single-door-fridge-170l_5610/,,36995.0,41995.0,5000.0
Single Door,VON VRS-171DRAS Single Door Fridge 170l - Silver,"KES 39,995",,https://hotpoint.co.ke/catalogue/von-vrs-171dras-single-door-fridge-170l-silver_6364/,,39995.0,0.0,0.0
Single Door,VON VRM-91DRAS Mini Fridge 90L - Silver,"KES 17,995","KES 23,295",https://hotpoint.co.ke/catalogue/von-vrm-91dras-mini-fridge-90l-silver_6363/,,17995.0,23295.0,5300.0
Single Door,"LG GC-F411ELDM Single Door Fridge - 384L, Silver","KES 149,995","KES 169,995",https://hotpoint.co.ke/catalogue/lg-gc-f411eldm-single-door-fridge-384l-silver_5623/,,149995.0,169995.0,20000.0
Double Door,Hisense RD-26WR4SA Top Mount Freezer Fridge - 205L,"KES 49,995","KES 67,995",https://hotpoint.co.ke/catalogue/hisense-rd-26wr4sa-top-mount-freezer-fridge-205l_5750/,,49995.0,67995.0,18000.0
Double Door,"VON VRT-138DRHX Double Door Fridge, Top Mount Freezer- …","KES 32,995","KES 38,995",https://hotpoint.co.ke/catalogue/von-vrt-138drhx-double-door-fridge-top-mount-freezer-138l_5185/,,32995.0,38995.0,6000.0
Double Door,Samsung RT28K3032S8 Top Mount Freezer Refrigerator - 231L,"KES 64,990","KES 83,995",https://hotpoint.co.ke/catalogue/samsung-rt28k3032s8-top-mount-freezer-refrigerator-231l_2341/,,64990.0,83995.0,19005.0
